,Municipio,Localidad,Coordenadas,Unnamed: 3,Muestra,FECHA DE MUESTREO ,pH,Conductividad (μs/cm),As (μg/L),Flúor (mg/L),Na+ (mg/L),K+    (mg/L),Fe+ (mg/L),Ca+ (mg/L),Mg+ (mg/L),NO3- (mg/L),Cl- (mg/L), CO3-2 (mg/L),HCO3- (mg/L),Alcalinidad total                (mg CaCO3/L),SO4,Tipo de Agua
0,,,Longitud,Latitud,,,,,,,,,,,,,,,,,,
112,Mapimi,Mapimi,-104.12501,26.58802,171.0,2018-02-08,9.33,708.65,7.291,2.23,116.0,3.045,,1.9215,0.05,7.0655,20.17465,24.75,123.75,148.5,101.78535000000001,CLORURADAS Y/O SULFATADAS SODICAS
113,Mapimi,Mapimi,-104.18966,26.49838,172.0,2018-02-08,8.04,2355.0,92.97999999999999,2.3200000000000003,282.5,6.705,,173.135,0.935,39.7825,67.6665,0.0,138.6,138.6,1030.0525,CLORURADAS Y/O SULFATADAS SODICAS
114,Mapimi,Mapimi,-103.84824,25.83343,173.0,2018-02-08,7.91,684.0,6.6165,0.327,21.560000000000002,3.7,,94.54050000000001,12.825,38.0454,20.61245,0.0,242.55,242.55,105.00665000000001,BICARBONATADA CALCICA Y/O MAGNESICA
115,Lerdo,Lerdo,-103.88599,25.78526,174.0,2018-02-08,7.715,476.54999999999995,21.851,0.325,68.42,6.63,,252.575,35.735,70.366,136.465,0.0,198.0,198.0,435.8755,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
116,Mapimi,Bermejillo,-103.62514,25.89474,175.0,2018-02-08,8.11,1643.0,14.643,0.41500000000000004,97.3715,7.29,,103.78999999999999,52.71,50.277,70.253,0.0,158.40000000000003,158.40000000000003,687.8095,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
117,Mapimi,Bermejillo,-103.617761,25.876192,176.0,2018-02-08,8.16,640.65,3.7355,0.28485,28.561999999999998,3.205,,81.0805,12.48,53.73065,15.985800000000001,0.0,188.1,188.1,122.9026,BICARBONATADA CALCICA Y/O MAGNESICA
118,Gómez Palacio,Gómez Palacio,-103.46087,25.57352,177.0,2018-02-08,7.970000000000001,922.15,12.4275,0.297,58.9245,6.5600000000000005,,105.6965,15.100000000000001,33.721000000000004,43.1065,0.0,198.0,198.0,197.5,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
119,Gómez Palacio,Gómez Palacio,-103.48563,25.55629,178.0,2018-02-08,7.91,895.65,19.786,0.42900000000000005,69.6335,6.375,,87.1885,18.985,37.1135,42.4135,0.0,198.0,198.0,214.849,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
120,Gómez Palacio,Gómez Palacio,-103.4825018,25.552187,179.0,2018-02-08,7.85,891.4,19.997999999999998,0.4675,69.97999999999999,6.115,,87.0445,18.634999999999998,39.7145,44.404,0.0,198.0,198.0,225.211,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
121,Gómez Palacio,Gómez Palacio,-103.50245,25.55127,180.0,2018-02-08,7.9350000000000005,888.95,14.9515,0.3335,68.1615,6.85,,92.377,15.864999999999998,40.1995,40.706500000000005,0.0,193.05,193.05,196.86350000000002,SULFATADA Y/O CLORURADAS CALCICAS Y/O MAGNESICAS
